blood_type,quantity,qValue,type,date
0 Rh+,Full,100,blood,03-01-2022
0 Rh-,Very low,5,blood,03-01-2022
A Rh+,Full,100,blood,03-01-2022
A Rh-,Low,20,blood,03-01-2022
B Rh+,Full,100,blood,03-01-2022
B Rh-,Full,100,blood,03-01-2022
AB Rh+,Full,100,blood,03-01-2022
AB Rh-,Full,100,blood,03-01-2022
0 Rh+,Medium,50,blood,04-01-2022
0 Rh-,Very low,5,blood,04-01-2022
A Rh+,Medium,50,blood,04-01-2022
A Rh-,Low,20,blood,04-01-2022
B Rh+,Full,100,blood,04-01-2022
B Rh-,Medium,50,blood,04-01-2022
AB Rh+,Full,100,blood,04-01-2022
AB Rh-,Full,100,blood,04-01-2022
0 Rh+,Medium,50,blood,05-01-2022
0 Rh-,Very low,5,blood,05-01-2022
A Rh+,Medium,50,blood,05-01-2022
A Rh-,Medium,50,blood,05-01-2022
B Rh+,Full,100,blood,05-01-2022
B Rh-,Low,20,blood,05-01-2022
AB Rh+,Full,100,blood,05-01-2022
AB Rh-,Full,100,blood,05-01-2022
0 Rh+,Full,100,blood,06-01-2022
0 Rh-,Low,20,blood,06-01-2022
A Rh+,Full,100,blood,06-01-2022
A Rh-,Full,100,blood,06-01-2022
B Rh+,Full,100,blood,06-01-2022
B Rh-,Full,100,blood,06-01-2022
AB Rh+,Full,100,blood,06-01-2022
AB Rh-,Full,100,blood,06-01-2022
0 Rh+,Medium,50,blood,07-01-2022
0 Rh-,Very low,5,blood,07-01-2022
A Rh+,Medium,50,blood,07-01-2022
A Rh-,Low,20,blood,07-01-2022
B Rh+,Full,100,blood,07-01-2022
B Rh-,Low,20,blood,07-01-2022
AB Rh+,Full,100,blood,07-01-2022
AB Rh-,Full,100,blood,07-01-2022
0 Rh+,Low,20,blood,10-01-2022
0 Rh-,Very low,5,blood,10-01-2022
A Rh+,Medium,50,blood,10-01-2022
A Rh-,Low,20,blood,10-01-2022
B Rh+,Full,100,blood,10-01-2022
B Rh-,Low,20,blood,10-01-2022
AB Rh+,Full,100,blood,10-01-2022
AB Rh-,Full,100,blood,10-01-2022
0 Rh+,Low,20,blood,11-01-2022
0 Rh-,Very low,5,blood,11-01-2022
A Rh+,Medium,50,blood,11-01-2022
A Rh-,Very low,5,blood,11-01-2022
B Rh+,Full,100,blood,11-01-2022
B Rh-,Medium,50,blood,11-01-2022
AB Rh+,Full,100,blood,11-01-2022
AB Rh-,Full,100,blood,11-01-2022
0 Rh+,Low,20,blood,12-01-2022
0 Rh-,Very low,5,blood,12-01-2022
A Rh+,Medium,50,blood,12-01-2022
A Rh-,Very low,5,blood,12-01-2022
B Rh+,Full,100,blood,12-01-2022
B Rh-,Low,20,blood,12-01-2022
AB Rh+,Full,100,blood,12-01-2022
AB Rh-,Full,100,blood,12-01-2022
0 Rh+,Low,20,blood,13-01-2022
0 Rh-,Very low,5,blood,13-01-2022
A Rh+,Medium,50,blood,13-01-2022
A Rh-,Very low,5,blood,13-01-2022
B Rh+,Full,100,blood,13-01-2022
B Rh-,Very low,5,blood,13-01-2022
AB Rh+,Full,100,blood,13-01-2022
AB Rh-,Full,100,blood,13-01-2022
0 Rh+,Low,20,blood,14-01-2022
0 Rh-,Very low,5,blood,14-01-2022
A Rh+,Low,20,blood,14-01-2022
A Rh-,Very low,5,blood,14-01-2022
B Rh+,Full,100,blood,14-01-2022
B Rh-,Very low,5,blood,14-01-2022
AB Rh+,Full,100,blood,14-01-2022
AB Rh-,Full,100,blood,14-01-2022
0 Rh+,Low,20,blood,17-01-2022
0 Rh-,Very low,5,blood,17-01-2022
A Rh+,Medium,50,blood,17-01-2022
A Rh-,Low,20,blood,17-01-2022
B Rh+,Full,100,blood,17-01-2022
B Rh-,Very low,5,blood,17-01-2022
AB Rh+,Full,100,blood,17-01-2022
AB Rh-,Full,100,blood,17-01-2022
0 Rh+,Very low,5,blood,18-01-2022
0 Rh-,Very low,5,blood,18-01-2022
A Rh+,Low,20,blood,18-01-2022
A Rh-,Very low,5,blood,18-01-2022
B Rh+,Full,100,blood,18-01-2022
B Rh-,Very low,5,blood,18-01-2022
AB Rh+,Full,100,blood,18-01-2022
AB Rh-,Full,100,blood,18-01-2022
0 Rh+,Very low,5,blood,19-01-2022
0 Rh-,Very low,5,blood,19-01-2022
A Rh+,Low,20,blood,19-01-2022
A Rh-,Very low,5,blood,19-01-2022
B Rh+,Full,100,blood,19-01-2022
B Rh-,Very low,5,blood,19-01-2022
AB Rh+,Full,100,blood,19-01-2022
AB Rh-,Full,100,blood,19-01-2022
0 Rh+,Very low,5,blood,20-01-2022
0 Rh-,Very low,5,blood,20-01-2022
A Rh+,Low,20,blood,20-01-2022
